NO.,RUAS JALAN,TITIK LOKASI,KETERANGAN
54,JL. SUNDA,SEBERANG YOGYA DEPT. STORE,HALTE ANGKUTAN UMUM PERKOTAAN
55,JL. RE. MARTADINATA,DEPAN GRAHA ATMA (RSJ),HALTE ANGKUTAN UMUM PERKOTAAN
56,JL. RE. MARTADINATA,DEPAN ORIFLAME,HALTE ANGKUTAN UMUM PERKOTAAN
57,JL. WR. SUPRATMAN,DEPAN APOTEK FORTUNA,HALTE ANGKUTAN UMUM PERKOTAAN
58,JL. KATAMSO,DEPAN LAP. TENIS TELKOM,HALTE ANGKUTAN UMUM PERKOTAAN
59,JL. PAHLAWAN,DEKAT TMP,HALTE ANGKUTAN UMUM PERKOTAAN
60,JL. PHH. MUSTOPHA,DEPAN ITENAS-UNBAR,HALTE ANGKUTAN UMUM PERKOTAAN
61,JL. JAKARTA,DEPAN GOR,HALTE ANGKUTAN UMUM PERKOTAAN
62,Jl. A.H. NASUTION,DEPAN SDN CIPADUNG,HALTE ANGKUTAN UMUM PERKOTAAN
63,Jl. A.H. NASUTION,SEBERANG UIN SUNAN GUNUNGJATI,HALTE ANGKUTAN UMUM PERKOTAAN
64,JL. SOEKARNO HATTA,DEKAT PERSIMPANGAN CIBIRU,HALTE ANGKUTAN UMUM PERKOTAAN
65,JL. SOEKARNO HATTA,DEKAT PERSIMPANGAN BUMI PANYILEUKAN,HALTE ANGKUTAN UMUM PERKOTAAN
66,JL. SOEKARNO HATTA,DEPAN BENGKEL SIMPANG CIMENCRANG,HALTE ANGKUTAN UMUM PERKOTAAN
67,JL. SOEKARNO HATTA,DEPAN RS AL ISLAM,HALTE ANGKUTAN UMUM PERKOTAAN
68,JL. SOEKARNO HATTA,DEPAN KOMPLEK METRO,HALTE ANGKUTAN UMUM PERKOTAAN
69,JL. SOEKARNO HATTA,DEPAN KANWIL BKN,HALTE ANGKUTAN UMUM PERKOTAAN
70,JL. SOEKARNO HATTA,DEPAN SMKN 9,HALTE ANGKUTAN UMUM PERKOTAAN
71,JL. SOEKARNO HATTA,DEPAN STT MANDALA,HALTE ANGKUTAN UMUM PERKOTAAN
72,JL. KH. WAHID HASYIM (KOPO),DEPAN SDN BABAKAN CIPARAY TIMUR,HALTE ANGKUTAN UMUM PERKOTAAN
73,JL. KH. WAHID HASYIM (KOPO) NO.161,DEPAN RS IMMANUEL,HALTE ANGKUTAN UMUM PERKOTAAN
74,JL. KEBON JATI NO.100,SAMPING GEREJA GKI,HALTE ANGKUTAN UMUM PERKOTAAN
75,JL. PASIRKALIKI,SEBERANG ISTANA PLAZA,HALTE ANGKUTAN UMUM PERKOTAAN
76,JL. DJUNJUNAN,SEBERANG BTC DPN TANAH KOSONG,HALTE ANGKUTAN UMUM PERKOTAAN
77,JL. SURYASUMANTRI,+ 60 MT SIMPANG PASTEUR,HALTE ANGKUTAN UMUM PERKOTAAN
78,JL. TAMANSARI,DEPAN KEBON BINATANG,HALTE ANGKUTAN UMUM PERKOTAAN
79,JL. TAMANSARI,DEPAN BAKSIL,HALTE ANGKUTAN UMUM PERKOTAAN
80,JL. SOEKARNO HATTA NO.701,DEPAN PT. SUPARMA,HALTE ANGKUTAN UMUM PERKOTAAN
81,JL. SOEKARNO HATTA,DEPAN ARIESTA YAMAHA (KAWALUYAAN),HALTE ANGKUTAN UMUM PERKOTAAN
82,JL. SOEKARNO HATTA,DEPAN SAI (RANCABOLANG),HALTE ANGKUTAN UMUM PERKOTAAN
83,JL. SOEKARNO HATTA,DEPAN SPBU SHELL/SMKN 7,HALTE ANGKUTAN UMUM PERKOTAAN
84,JL. SOEKARNO HATTA NO.639,SEBRANG MIM,HALTE ANGKUTAN UMUM PERKOTAAN
85,JL. SOEKARNO HATTA,DEPAN SHOWROOM HYUNDAI,HALTE ANGKUTAN UMUM PERKOTAAN
86,JL. SOEKARNO HATTA,DEPAN SMK MEDICA COM,HALTE ANGKUTAN UMUM PERKOTAAN
87,JL. SOEKARNO HATTA,DEPAN UNINUS,HALTE ANGKUTAN UMUM PERKOTAAN
88,JL. SOEKARNO HATTA,SIMPANG BUBAT (TAMAN),HALTE ANGKUTAN UMUM PERKOTAAN
89,JL. TERS. IBRAHIM ADJIE,DEPAN SD BUBAT UTARA,HALTE ANGKUTAN UMUM PERKOTAAN
90,JL. CIWASTRA,SEBRANG BORMA,HALTE ANGKUTAN UMUM PERKOTAAN
91,JL. CIWASTRA,KOMP. MARGAHAYU RAYA,HALTE ANGKUTAN UMUM PERKOTAAN
92,JL. IBRAHIM ADJIE,DEPAN SPBU/BORMA,HALTE ANGKUTAN UMUM PERKOTAAN
93,JL. IBRAHIM ADJIE,DEPAN DAESE GARMEN,HALTE ANGKUTAN UMUM PERKOTAAN
94,JL. ANTAPANI,DEPAN BORMA,HALTE ANGKUTAN UMUM PERKOTAAN
95,JL. JAKARTA ,DEPAN AGRONESIA,HALTE ANGKUTAN UMUM PERKOTAAN
96,JL. SUKABUMI,DEKAT IBCC,HALTE ANGKUTAN UMUM PERKOTAAN
97,JL. JAKARTA ,DEPAN STIMIK AMIK,HALTE ANGKUTAN UMUM PERKOTAAN
